brand,nameProduct,category_id
" Asus,""Transformer T300CHI-FL086T 128GB "",1"
" Asus,""Transformer T100HA-FU031T 128GB"",1"
" Asus,""Transformer T100HA-FU006T 64GB"",1"
"Sony,""Xperia Tablet Z4 4G 32GB (SGP771)"",1"
"Sony,""Xperia Tablet Z4 4G 32GB (SGP771)"",1"
"Samsung,""Galaxy Grand 2 Duos G7102 (EB-220AC) "",1"
"Samsung,""Samsung EB425161LUCSTD I8160,S6802 (1500mAh) "",1"
"Samsung,""Samsung I8580, I8552, G355H (EB585157LU) "",1"
"Samsung,""Samsung EB-L1G6LLUCSTD для i9300 (2100 mA/ч) "",1"
"Samsung,""Samsung EB-F1A2GBUCSTD для I9100 "",1"
"Samsung,""Аккумулятор для телефона Samsung G360"",1"
"Samsung,""Samsung i9500"",1"
"Samsung,""Samsung X200 AB463446BU"",1"
"Nokia,""Nokia BL-4U "",1"
"Nokia,""Nokia BL-5C "",1"
"Nokia,""Nokia BL-5CT "",1"
"Nokia,""Nokia BL-4C "",1"
"Nokia,""Nokia BP-3L "",1"
"Nokia,""Nokia BL-5CB "",1"
"Nokia,""Nokia BL-4S "",1"
"Nokia,""Nokia BP-6MT "",1"
"Huawei,""Y5 II"",1"
"Huawei,""Y5 II"",1"
"Huawei,""Y6 II"",1"
"Huawei,""Y6 II"",1"
Huawei,GT3,1
Huawei,GT3,1
"Huawei,""P9 EVA-L19"",1"
"Huawei,""P9  EVA-L19"",1"
"Huawei,""P9 EVA-L19"",1"
"HTC,""Desire 630"",1"
"HTC,""Desire 630"",1"
"HTC,""Desire 820G"",1"
"HTC,""Desire 820G"",1"
"HTC,""Desire 728G"",1"
"HTC,""One M8s"",1"
"Lenovo,""C2 (K10a40)"",1"
"Lenovo,""C2 (K10a40)"",1"
"Lenovo,""Vibe K5 Note (A7020) "",1"
"Lenovo,""Vibe K5 Note (A7020)"",1"
Lenovo,A1000M,1
Lenovo,A1000M,1
"Lenovo,""Vibe P1Pro"",1"
"Lenovo,""Vibe P1Pro"",1"
"Lenovo,""Vibe P1Pro "",1"
"Samsung,""Galaxy Note 7 (N930FD)"",1"
"Sony,""Xperia XA Ultra (F3212)"",1"
"Samsung,""Galaxy Xcover 3 (G388)"",1"
"LG,""K7 X210"",1"
"LG,""K7 X210"",1"
"LG,""K7 X210"",1"
"LG,""K10 K410"",1"
"LG,""K8 K350E"",1"
"LG,""K8 K350E"",1"
"LG,""X Power K220"",1"
"LG,""X Cam K580"",1"
"LG,""X Cam K580 "",1"
"LG,""X Cam K580"",1"
"LG,""X Style K200"",1"
"LG,""X Style K200"",1"
"LG,""X Style K200"",1"
"LG,""X VIEW K500"",1"
"LG,""X VIEW K500"",1"
"LG,""X VIEW K500"",1"
"LG,""G5 SE "",1"
"LG,""G5 SE"",1"
"LG,""G5 SE"",1"
"Apple,""iPhone 6S"",1"
"Apple,""iPhone 6S"",1"
"Apple,""iPhone 6S"",1"
"Sony,""Xperia XA Ultra (F3212)"",1"
"Sony,""Xperia XA F3112"",1"
"Samsung,""Samsung EB-PG850BSRGRU"",1"
"Xiaomi,""Xiaomi Mi (NDY-02-AN)"",1"
"Xiaomi,""Xiaomi (NDY-02-AM) "",1"
"Xiaomi,""Xiaomi (NDY-02-AL) "",1"
